"出典
注",atomic number,,,atomic weight (g),,,"E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys. 38:2686.","J C Slater (1964) J Chem Phys 41:3199

J C Slater (1965) Quantum Theory of Molecules and Solids. Symmetry and Bonds in Crystals. Vol 2. McGraw-Hill, New York.
計算値は以下の元素に使用されています: He、Ne、Ar、Kr、Xe、At、Rn。これらのデータの出典は以下の通りです。
E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys 38:2686",,van-der-waals radius,,"A.L. Allred , E.G. Rochow, , J. Inorg. Nucl. Chem., 1958, 5, 264の近似",melting point (K)　,boiling point (K),(kJ/mol)," (g/cm3)

at 298 K","(1/K)

Coefficient of linear expansion at 25°C",(J/mol K)," (W/cm K)

 Thermal conductivity at 300 K",(eV),"(eV)

斜線 = not stable
空欄 = データなし",Number of valence electrons,"(J/m2)

Persson et al　
http://crystalium.materialsvirtuallab.org/"
,AN,symbol,name,AW,group,period,atomic radius,ionic radius,covalent radius,VdW radius,crystal radius,electronegativity,m. p.,b. p.,delta_fus H ,density,a x 106 ,Heat capacity ,l,ionization enegy ,electron affinity ,VE,Surface energy 
,34,Se,selenium,78.96,16,4,1.03,1.15,1.16,1.9,0.56,2.48,494,958,6.69,4.81,37,25.363,0.00519,9.7524,2.02067,6,0.05
,35,Br,bromine,79.904,17,4,0.94,1.15,1.14,1.85,1.82,2.74,265.8,332,10.57,,,36.057,0.00122,11.8138,3.363588,7,
,36,Kr,krypton,83.798,18,4,0.88,0.88,1.1,2.02,,,115.79,119.93,1.64,,,20.786,0.0943,13.9996,,8,
,37,Rb,rubidium,85.4678,1,5,2.65,2.35,2.11,,1.66,0.89,312.46,961,2.19,1.53,,31.06,0.582,4.1771,0.48592,1,0.08
,38,Sr,strontium,87.62,2,5,2.19,2,1.92,,1.32,0.99,1050,1655,7.43,2.64,22.5,26.4,0.353,5.6949,0.048,2,0.34
,39,Y,yttrium,88.9059,3,5,2.12,1.85,1.62,,1.04,1.11,1799,3609,11.4,4.47,10.6,26.53,0.172,6.2171,0.307,3,0.96
,40,Zr,zirconium,91.224,4,5,2.06,1.55,1.48,,0.86,1.22,2128,4682,21,6.52,5.7,25.36,0.227,6.6339,0.426,4,1.57
,41,Nb,niobium,92.9064,5,5,1.98,1.45,1.37,,0.78,1.23,2750,5017,30,8.57,7.3,24.6,0.537,6.7589,0.893,5,2.07
,42,Mo,molybdenum,95.96,6,5,1.9,1.45,1.45,,0.79,1.3,2896,4912,37.48,10.2,4.8,24.06,1.38,7.0924,0.748,6,2.8
,43,Tc,technetium,99,7,5,1.83,1.35,1.56,,0.79,1.36,2430,4538,33.29,11,,,0.506,7.28,0.55,7,2.23
,44,Ru,ruthenium,101.07,8,5,1.78,1.3,1.26,,0.82,1.42,2607,4423,38.59,12.1,6.4,24.06,1.17,7.3605,1.05,8,2.58
,45,Rh,rhodium,102.9055,9,5,1.73,1.35,1.35,,0.81,1.45,2237,3968,26.59,12.4,8.2,24.98,1.5,7.4589,1.137,9,1.99
,46,Pd,palladium,106.42,10,5,1.69,1.4,1.31,1.63,0.78,1.35,1828.05,3236,16.74,12,11.8,25.98,0.718,8.3369,0.562,10,1.34
,47,Ag,silver,107.8682,11,5,1.65,1.6,1.53,1.72,1.29,1.42,1234.93,2435,11.28,10.5,18.9,25.35,4.29,7.5762,1.302,11,0.77
,48,Cd,cadmium,112.411,12,5,1.61,1.55,1.48,1.58,0.92,1.46,594.22,1040,6.21,8.69,30.8,26.02,0.968,8.9938,,12,0.2
,49,In,indium,114.818,13,5,1.56,1.55,1.44,1.93,0.94,1.49,429.75,2345,3.281,7.31,32.1,26.74,0.816,5.7864,0.3,3,0.3
,50,Sn,tin,118.71,14,5,1.45,1.45,1.41,2.17,0.69,1.72,505.08,2875,7.173,7.26,22,27.112,0.666,7.3494,1.112067,4,0.54
,51,Sb,antimony,121.76,15,5,1.33,1.45,1.38,,0.9,1.82,903.78,1860,19.79,6.68,11,25.23,0.243,8.6084,1.046,5,0.16
,52,Te,tellurium,127.6,16,5,1.23,1.4,1.35,2.06,1.11,2.01,722.66,1261,17.49,6.24,,25.73,0.0197,9.0096,1.970876,6,0.08
,53,I,iodine,126.9045,17,5,1.15,1.4,1.33,1.98,2.06,2.21,386.85,457.4,15.52,4.933,,36.888,0.0045,10.4513,3.059037,7,
,54,Xe,xenon,131.293,18,5,1.08,1.08,1.3,2.16,0.62,,161.4,165.1,2.27,,,20.786,0.0000565,12.1298,,8,
,55,Cs,caesium,132.9055,1,6,2.98,2.6,2.25,,1.81,0.86,301.59,944,2.09,1.93,97,32.21,0.359,3.8939,0.471626,1,0.06
,56,Ba,barium,137.327,2,6,2.53,2.15,1.98,,1.49,0.97,1000,2143,7.12,3.62,20.6,28.07,0.184,5.2117,0.14462,2,0.31
,57,La,lanthanum,138.9055,3,6,1.95,1.95,1.69,,1.36,1.08,1193,3743,6.2,6.15,12.1,27.11,0.134,5.5769,0.47,,0.7
,58,Ce,cerium,140.116,3,6,1.85,1.85,,,1.15,1.08,1068,3633,5.46,6.77,6.3,26.94,0.113,5.5387,0.955,,1.02
,59,Pr,praseodymium,140.9077,3,6,2.47,1.85,,,1.32,1.07,1208,3563,6.89,6.77,6.7,27.2,0.125,5.473,0.962,,0.78
,60,Nd,neodymium,144.242,3,6,2.06,1.85,,,1.3,1.07,1297,3373,7.14,7.01,9.6,27.45,0.165,5.525,,,0.82
,61,Pm,promethium,145,3,6,2.05,1.85,,,1.28,1.07,1373,3273,,7.26,11,,0.15,5.582,,,0.84
,62,Sm,samarium,150.36,3,6,2.38,1.85,,,1.1,1.07,1345,2076,8.62,7.52,12.7,29.54,0.133,5.6437,,,0.87
,63,Eu,europium,151.964,3,6,2.31,1.85,,,1.31,1.01,1099,1800,9.21,5.24,35,27.66,0.139,5.6704,0.864,,0.48
,64,Gd,gadolinium,157.25,3,6,2.33,1.8,,,1.08,1.11,1585,3523,10,7.9,9.4,37.03,0.105,6.1501,,,0.84
,65,Tb,terbium,158.9254,3,6,2.25,1.75,,,1.18,1.1,1629,3503,10.15,8.23,10.3,28.91,0.111,5.8638,,,0.97
,66,Dy,dysprosium,162.5,3,6,2.28,1.75,,,1.05,1.1,1680,2840,11.06,8.55,9.9,27.7,0.107,5.9389,,,1
,67,Ho,holmium,164.9303,3,6,2.26,1.75,,,1.04,1.1,1734,2993,17,8.8,11.2,27.15,0.162,6.0215,,,0.97
,68,Er,erbium,167.259,3,6,2.26,1.75,,,1.03,1.11,1770,3141,19.9,9.07,12.2,28.12,0.145,6.1077,,,0.99
,69,Tm,thulium,168.9342,3,6,2.22,1.75,,,1.02,1.11,1818,2223,16.84,9.32,13.3,27.03,0.169,6.1843,1.029,,1.01
,70,Yb,ytterbium,173.054,3,6,2.22,1.75,,,1.13,1.06,1097,1469,7.66,6.9,26.3,26.74,0.385,6.2542,-0.02,,0.43
,71,Lu,lutetium,174.9668,3,6,2.17,1.75,1.6,,1,1.14,1925,3675,22,9.84,9.9,26.86,0.164,5.4259,0.34,,1.05
,72,Hf,hafnium,178.49,4,6,2.08,1.55,1.5,,0.85,1.23,2506,4876,27.2,13.3,5.9,25.73,0.23,6.8251,0,4,1.71
,73,Ta,tantalum,180.9479,5,6,2,1.45,1.38,,0.78,1.33,3290,5731,36.57,16.4,6.3,25.36,0.575,7.5496,0.322,5,2.34
,74,W,tungsten,183.84,6,6,1.93,1.35,1.46,,0.74,1.4,3695,5828,52.31,19.3,4.5,24.27,1.74,7.864,0.815,6,3.23
,75,Re,rhenium,186.207,7,6,1.88,1.35,1.59,,0.77,1.46,3459,5869,60.43,20.8,6.2,25.48,0.479,7.8335,0.15,7,2.58
,76,Os,osmium,190.23,8,6,1.85,1.3,1.28,,0.77,1.52,3306,5285,57.85,22.59,5.1,24.7,0.876,8.4382,1.1,8,2.92
,77,Ir,iridium,192.217,9,6,1.8,1.35,1.37,,0.77,1.55,2739,4701,41.12,22.5,6.4,25.1,1.47,8.967,1.5638,9,2.28
,78,Pt,platinum,195.084,10,6,1.77,1.35,1.28,1.75,0.74,1.44,2041.4,4098,22.17,21.5,8.8,25.86,0.716,8.9588,2.128,10,1.48
,79,Au,gold,196.9666,11,6,1.74,1.35,1.44,1.66,1.51,1.42,1337.33,3129,12.72,19.3,14.2,25.418,3.17,9.2255,2.30863,11,0.74
,80,Hg,mercury,200.59,12,6,1.71,1.5,1.49,1.55,0.83,1.44,234.32,629.88,2.29,13.5336,60.4,27.983,0.0834,10.4375,,12,
,81,Tl,thallium,204.3833,13,6,1.56,1.9,1.48,1.96,1.03,1.44,577,1746,4.14,11.8,29.9,26.32,0.461,6.1082,0.2,3,0.22
,82,Pb,lead,207.2,14,6,1.54,1.8,1.47,2.02,1.49,1.55,600.61,2022,4.782,11.3,28.9,26.65,0.353,7.4167,0.364,4,0.25
,83,Bi,bismuth,208.9804,15,6,1.43,1.6,1.46,,1.17,1.67,544.4,1837,11.145,9.79,13.4,25.52,0.0787,7.2855,0.942362,5,0.17
,84,Po,polonium,,,,,,,,,,,,,,,,,,,,
,85,At,astatine,,,,,,,,,,,,,,,,,,,,
,86,Rn,radon,,,,,,,,,,,,,,,,,,,,
,87,Fr,francium,,,,,,,,,,,,,,,,,,,,
,88,Ra,radium,,,,,,,,,,,,,,,,,,,,
,89,Ac,actinium,,,,,,,,,,,,,,,,,,,,
,90,Th,thorium,,,,,,,,,,,,,,,,,,,,
,91,Pa,protactinium,,,,,,,,,,,,,,,,,,,,
,92,U,uranium,,,,,,,,,,,,,,,,,,,,
,93,Np,neptunium,,,,,,,,,,,,,,,,,,,,
,94,Pu,plutonium,,,,,,,,,,,,,,,,,,,,
,95,Am,americium,,,,,,,,,,,,,,,,,,,,
,96,Cm,curium,,,,,,,,,,,,,,,,,,,,
,97,Bk,berkelium,,,,,,,,,,,,,,,,,,,,
,98,Cf,californium,,,,,,,,,,,,,,,,,,,,
,99,Es,einsteinium,,,,,,,,,,,,,,,,,,,,
,100,Fm,fermium,,,,,,,,,,,,,,,,,,,,
,101,Md,mendelevium,,,,,,,,,,,,,,,,,,,,
,102,No,nobelium,,,,,,,,,,,,,,,,,,,,
,103,Lr,lawrencium,,,,,,,,,,,,,,,,,,,,
,104,Rf,rutherfordium,,,,,,,,,,,,,,,,,,,,
,105,Db,dubnium,,,,,,,,,,,,,,,,,,,,
,106,Sg,seaborgium,,,,,,,,,,,,,,,,,,,,
,107,Bh,bohrium,,,,,,,,,,,,,,,,,,,,
,108,Hs,hassium,,,,,,,,,,,,,,,,,,,,
,109,Mt,meitnerium,,,,,,,,,,,,,,,,,,,,
,110,Ds,darmstadtium,,,,,,,,,,,,,,,,,,,,
,111,Rg,roentgenium,,,,,,,,,,,,,,,,,,,,
,112,Cn,copernicium,,,,,,,,,,,,,,,,,,,,
,113,Nh,nihonium,,,,,,,,,,,,,,,,,,,,
,114,Fl,flerovium,,,,,,,,,,,,,,,,,,,,
,115,Mc,moscovium,,,,,,,,,,,,,,,,,,,,
,116,Lv,livermorium,,,,,,,,,,,,,,,,,,,,
,117,Ts,tennessine,,,,,,,,,,,,,,,,,,,,
,118,Og,oganesson,,,,,,,,,,,,,,,,,,,,
